name,shipping,status,price,free_returns,items_sold
Deadpool 1 & 2 DVD Set - Brand New - Ryan Reynolds - Free Shipping,0,Brand New · DVD · Deadpool 2,1099,False,102
DVD / Blu-Ray Pick From 250 of Action & HORROR Movies - $4 Flat Rate Shipping,399,Pre-Owned,198,False,
The Christmas Chronicles 1 & 2 Movies (Blu-ray) New,0,Brand New · Blu-ray,1899,False,
"Planes, Trains and Automobiles (Blu-ray Disc, 2013)",349,"Brand New · Blu-ray Disc · Planes, Trains and Automobiles",489,True,
GHOSTBUSTERS: AFTERLIFE (2022 DVD) COMEDY / ACTION / CRIME,0,New (Other) · DVD,1189,False,1307
She-Hulk Attorney at Law 3- Discs DVD Box Set Region 1 New Sealed,0,Brand New · DVD · Time,2748,False,77
"Terrifier 2 (2022), NEW, Sealed DVD, REGION FREE, Presale",349,Brand New · DVD,2199,True,29
Top Gun: 2-Movie Collection (Top Gun / Top Gun: Maverick) [New 4K UHD Blu-ray],0,Brand New · Ultra HD,3995,True,
Peanuts Holiday Collection - Deluxe Edition DVD 3 Remastered Classics New Sealed,0,Brand New · DVD,2300,True,75
"Hellraiser (2022), NEW, Sealed DVD, REGION FREE, PRESALE",349,Brand New · DVD · Hellraiser,2199,True,
Halloween Kills Blu-ray Judy Greer NEW,0,Brand New · Blu-ray · Halloween Kills,999,False,862
Cars 1-3 DVD 3-Movie Collection Brand New Sealed Disney Pixar Free Shipping!,0,Brand New · DVD · Cars,1099,False,394
BULLET TRAIN (2022 DVD) SUSPENSE / ACTION,0,New (Other) · DVD,1079,False,
"Black Widow (DVD, 2021) Brand New Marvel Movie Free Shipping!",0,Brand New · DVD · Black Widow,799,False,226
ABBOTT AND COSTELLO 34 FULL LENGTH CLASSIC MOVIES 10 DVD SET,0,Brand New · DVD,1944,False,122
Phantasm 5 Movie Blu-ray Collection [New Blu-ray],0,Brand New · Blu-ray · Phantasm 5 Movie Blu-ray Collection,1936,True,
New Steelbook Spiderman Collection: 5 Films (Blu-ray),0,Brand New · Blu-ray Disc · Spider-Man Legacy Collection,1949,True,
Top Gun: Maverick  Blu-Ray Movie Tom Cruise USA Compatible Region Free Disk 2022,0,Brand New · Blu-ray,1399,False,
DC LEAGUE OF SUPER PETS (2022 DVD) FAMILY / COMEDY,0,New (Other) · DVD,1089,False,
"CODA (2021) Brand New, Sealed DVD, No Inserts, Presale",349,Brand New · DVD,2199,True,26
Christmas in My Heart / My Christmas Family Tree (Hallmark Channel 2-Movie Colle,0,Brand New,1799,True,
Abbott And Costello 31 Full Length Movies + 7 BONUS Television Show Episodes,0,Brand New · DVD,1995,True,123
Ladies Night DVD SALE Lot Pick Choose Your Romantic Comedies Movies Titles,395,Pre-Owned,100,True,
Shop on eBay,,Brand New,2000,False,
POSSESSION (1981) Blu-Ray with slipcover BRAND NEW Free Ship (USA Compatible),0,Brand New · Blu-ray,2550,True,296
A SMOKY MOUNTAIN CHRISTMAS DOLLY PARTON  DVD and CD - 3 Discs Set,533,Brand New · DVD · Dolly,1999,False,236
Alvin's Diamond Edition THE CHIPMUNK ADVENTURE + Slip Cover NEW & SEALED!,0,Brand New · DVD · Alvin and the Chipmunks,2499,False,88
"The Christmas Card (DVD, 2007) Includes Slip Cover!  NEW & SEALED",0,Brand New · DVD · The Christmas Card,2199,True,78
DC LEAGUE OF SUPER PETS (2022 DVD) FAMILY / COMEDY,0,New (Other) · DVD,1089,False,
"CODA (2021) Brand New, Sealed DVD, No Inserts, Presale",349,Brand New · DVD,2199,True,26
Christmas in My Heart / My Christmas Family Tree (Hallmark Channel 2-Movie Colle,0,Brand New,1799,True,
"Abbott & Costello The Complete Collection (28 Movies, DVD Collection Set) New",0,Brand New · DVD,3680,False,92
Movies Anywhere redeem code,0,Brand New,499,False,
"Eternals (DVD, 2021) Angelina Jolie - Brand New - Free Shipping Included",0,Brand New · DVD,798,False,298
Horror Classics (50 Movies) [New DVD],0,Brand New · DVD · Horror Classics (50 Movies),1101,True,
Walt Disney Classics 24-Movies Animation Collection DVD Brand New Sealed Box Set,0,Brand New · DVD,2599,True,
2000 MULES-DVD-SEALED-FAST SHIPPING-INCLUDED FREE: [S]ELECTION CODE ~ THE MOVIE,350,Brand New · DVD,1399,False,
Everything Everywhere All at Once [2022][DVD] NEW* Jamie Lee Curtis * FREE SHIP!,0,Brand New · DVD · Everything Everywhere All AT Once,1095,True,
HAPPINESS Todd Solondz NEW DVD SEALED Widescreen + Special Features US REGION 1,0,Brand New · DVD · Happiness,2499,False,20
"The Batman (DVD, 2022) Brand New Movie",0,Brand New · DVD · The Batman,1099,False,36
Spiderman 8-Movie Collection DVD Bundle Brand New & Sealed Free Shipping!,0,Brand New · DVD,1699,False,46
"🔥 New / Sealed - The Batman - Collectors SteelBook - 4K, Blu Ray, Digital -2022",0,Brand New · 4K UHD Blu-ray · The Batman,2995,True,
John Wick Complete Keanu Reeves Movies Series Chapter 1-3 1 2 3 NEW DVD SET,0,Brand New · DVD · John Wick: Chapters 1-3,1325,False,343
New Thunderheart (DVD),0,Brand New · DVD,749,True,
Hart to Hart - Movies Are Murder Collection DVD  NEW,0,Brand New · DVD,999,False,134
The Purge 5-movie Collection Blu-ray Ethan Hawke NEW,0,Brand New · Blu-ray · The Purge: 5-Movie Collection,1699,False,162
Hellraiser [New DVD],0,Brand New · DVD · Hellraiser,794,True,
2000 Mules DVD by D'Souza (2022 Documentary) Deluxe Edition New w/ FREE Shipping,0,Brand New · DVD,1695,True,79
New ListingTop Gun + Top Gun: Maverick 2-Movie Collection Blu-Ray NODigital LIKE New,0,New (Other) · Blu-ray,2299,False,
"Eternals (DVD, 2021) Brand New Movie Free Shipping!",0,Brand New · DVD · Eternals,799,False,62
"Medieval 2022, NEW, Sealed, DVD, REGION FREE, PRESALE",349,Brand New · DVD,1999,True,
New Listingblu ray movies Topgun,349,New (Other) · Blu-ray · Top Gun (1986 film),990,False,
Lot of 90 Used ASSORTED Bluray Movies-90 Bulk Bluray-Used Bluray Lot -Wholesale,0,New (Other) · Blu-ray,8999,False,
100 Random DVD LOT cases included Comedy/Documentary/Horror/Dram/TV series,0,Pre-Owned · DVD,3499,False,66
Marvel Cinematic 23-Movie Collection DVD Box Set Bundle Brand New,0,Brand New · DVD,2299,False,95
"SHIRLEY TEMPLE Little Darling Collection Classic Movies [DVD, 18-Disc Box Set] ",0,Brand New · DVD · Shirley Temple,2698,False,
Sailor Moon Complete DIC 90's English Dub 1 - 159 + 3 Movies  4 Seasons 15 DVDs,0,Brand New · DVD · Sailor Moon (1995 TV series),6999,False,66
The Night They Saved Christmas (DVD 1984) NEW SEALED,499,Brand New · DVD · They,1599,False,25
Hammer Films: 12-Movie Collection [New DVD] Boxed Set,0,Brand New · DVD,1971,True,
Indiana Jones - The Complete Adventure Collection (5-Disc DVD Set) - Brand New,0,Brand New · DVD · Indiana Jones,1569,False,165
"Transformers: The Ultimate 5-Movie Collection (DVD, 2018) Free Shipping!",349,Brand New · DVD,1099,False,141
The Slumber Party Massacre [New Blu-ray] Widescreen,0,Brand New · Blu-ray,1296,True,
Build Your Dvd Collection U PICK $.99 DVD MOVIE cheap!!,99,Pre-Owned,99,False,
"marvel studios cinematic universe 23 movie collection (DVD,  12  Discs)",0,Brand New · DVD,2689,False,205
Down Home Christmas Collection - 5 Films DVD  NEW,0,Brand New · DVD · Down Home Christmas: 5 Movie Collection,799,False,309
Tremors 7-Movie Collection DVD Kevin Bacon NEW,0,Brand New · DVD · Tremors: 7-Movie Collection,1399,False,394
Smokey and the Bandit The 7-Movie Outlaw Collection DVD Mel Tillis NEW,0,Brand New · DVD,599,False,896
Ernest Scared Stupid Custom Slipcover (No Movie),400,New (Other) · Blu-ray,1099,False,
Horror Classics 50 Movie Pack DVD  NEW,0,Brand New · DVD · Horror Classics (50 Movies),999,False,74
Moonrunners 1975 UNRELEASED DVD. FREE FAST SHIPPING. US SELLER,0,Brand New · DVD,1591,False,
New The Equalizer I & II Collection (DVD + Digital),0,Brand New · DVD · The Equalizer (2014 film),1000,True,
Wholesale : Lot of 100 ASSORTED DVD Movies - Bulk 100 Used DVDs - No Duplication,0,New (Other) · DVD,3995,True,
"Jurassic World Dominion (DVD, 2022) Brand New Fast Shipping !!",0,Brand New · DVD,1189,False,
Stitch! The Movie - DVD - GOOD,0,Pre-Owned · DVD · Stitch! The Movie,424,True,
Jurassic Park & Jurassic World Ultimate Collection DVD 6-Movie Region 1 US,0,Brand New · DVD · Jurassic WORLD Ultimate Collection,2299,False,58
"Where the Crawdads Sing (DVD, 2022) New & Sealed FREE Shipping",0,Brand New · DVD,1399,False,
Matchmaker Mysteries 3-Movie Collection [New DVD],0,Brand New · DVD · Matchmaker Mysteries 3-Movie Collection,1599,True,
"DVD Sale, Pick Choose Your Christmas Movies, Combined Ship Huge Used Lot",349,Pre-Owned,199,False,
GREAT BALLS OF FIRE DVD MOVIE ,0,New (Other) · DVD,2000,False,
"New Crouching Tiger, Hidden Dragon (4K / Blu-ray + Digital)",0,"Brand New · Ultra HD · Crouching Tiger, Hidden Dragon",1350,True,
DVD Movie Sale & Blu Ray Movies Pick And Choose Combined Shipping on all orders,395,Pre-Owned,100,True,
"The School for Good and Evil (2022), NEW, Sealed DVD, REGION FREE, Presale",349,Brand New · DVD,2199,True,
12 Gifts of Christmas (DVD) 2015 Hallmark Original TV Movie **NEW SEALED**,499,Brand New · DVD,1499,False,48
"Fantastic Beasts: The Secrets of Dumbledore (DVD, 2022) New & Sealed FREE Ship!",0,Brand New · DVD,949,True,
Skin: A History of Nudity in the Movies [New DVD],0,Brand New · DVD · Skin: a History of Nudity in the Movies,1685,True,
THOR: Love and Thunder DVD  /NEW SEALEAD/ ****FREE SHIPPING   *****,0,Brand New · DVD · Thor: Love and Thunder,1095,True,
"The Revenant (DVD, 2015) - Brand New",349,Brand New · DVD · The Revenant,349,False,281
"Jurassic World Dominion (DVD, 2022) Brand New w/ slipcover",0,Brand New · DVD,1200,False,
"The Sadness (Blu-ray, 2022) BRAND NEW SEALED Raven Banner Horror ",0,Brand New · Blu-ray,2971,False,64
Downton Abbey The Movie DVD Hugh Bonneville NEW,0,Brand New · DVD · Downton Abbey,599,False,3518
Star Wars Episodes 1-9 DVD Movie Collection Brand New & Sealed,0,Brand New · DVD,2699,False,99
"DVD Sale, Pick Choose Your Movies Combined Ship Huge Used Lot, A+ Movie Titles E",349,Pre-Owned,169,False,
Imitation of Life 2-Movie Collection DVD Warren William NEW,0,Brand New · DVD · Imitation of Life,599,False,503
"Hayao Miyazaki STUDIO GHIBLI SPECIAL EDITION (DVD, 25-Movies) Brand New & Sealed",0,Brand New,2180,False,18
"The Avengers Assembled 1-4 Complete Boxset (DVD, 4-Movie Set, 2019) FREE S/H",0,Brand New · DVD,1199,False,
"Peanuts: 4-Movie Collection [New DVD] Boxed Set, Dubbed, Subtitled, Widescreen",0,Brand New · DVD · Peanuts: 4-Movie Collection,1099,True,
New Starship Troopers (20th Anniversary + Digital) (4K / Blu-ray + Digital),0,Brand New · Ultra HD · Starship Troopers: 20th Anniversary,1350,True,
Scary Movie 4 (Unrated Widescreen Edition) - DVD - VERY GOOD,0,Pre-Owned · DVD · Scary Movie 4,398,True,
"  Dogma (DVD, 2000) Kevin Smith, Matt Damon, Ben Affleck, US REGION 1 ",0,Brand New · DVD · Dogma,2399,False,32
Shop on eBay,,Brand New,2000,False,
"  Dogma (DVD, 2000) Kevin Smith, Matt Damon, Ben Affleck, US REGION 1 ",0,Brand New · DVD · Dogma,2399,False,32
Christmas Wonderland / Sharing Christmas / 12 Gifts of Christmas [DVD],0,Brand New · DVD,2999,True,20
Alfred Hitchcock: The Legend Begins - 20 Movie Classics - DVD - GOOD,0,Pre-Owned · DVD · Alfred Hitchcock - The Legend Begins,463,True,
DC 24 Movie Movies Collection Set 12 Discs DVD FREE shipping,0,Brand New · DVD,2599,False,13
"The Gray Man, Brand New, Sealed DVD, REGION FREE, PRESALE",349,Brand New · DVD,2499,True,44
THE IRISHMAN Criterion Collection DVD - 2 Disc Set - Brand New - Free Shipping ,0,Brand New · DVD,1219,False,84
"Peanuts Movie, The DVD",0,Pre-Owned · DVD · The Peanuts Movie,554,True,
Don Knotts: 4-Movie Collection [New DVD] Boxed Set,0,Brand New · DVD,1178,True,
The Aurora Teagarden Mysteries-18 Movie Collection Includes 2 New Movies,319,Brand New · DVD,4999,False,405
 PREY Blu-Ray New 2022 Blu-Ray Predator Movie Alien Prequel USA Compatible Disk,0,Brand New · Blu-ray · Predator,1399,False,
Toy Story: 1-4 Movie Collection (DVD - Disney/Pixar) New & Sealed FREE Shipping,0,Brand New · DVD · Toy Story: 4-Movie Collection,1194,False,41
21 - DVD - VERY GOOD,0,Pre-Owned,359,True,
Columbo: Complete TV Series (Season 1-7) + TV Movies (DVD Set),0,Brand New · DVD · Columbo: the Complete Series,3899,False,118
Garage Sale Mystery - 4 Film Collection Two [DVD],0,Brand New · DVD,1999,True,57
The Parent Trap Two-Movie Collection (The Parent Trap / The Par - VERY GOOD,0,Pre-Owned · DVD,520,True,
Charlie Chan Collection 36 Classic Movies on 8 DVDs,399,Brand New · DVD,1499,False,
Super Mario Bros (1993) Blu-Ray BRAND NEW (USA Compatible),0,Brand New · Blu-ray,1999,True,294
New Silent Hill (Blu-ray),0,Brand New · Blu-ray · Silent Hill,1000,True,
"Murder, She Wrote 4 Movie Collection DVD Angela Lansbury NEW",0,"Brand New · DVD · Murder, She Wrote: 4 Movie Collection",1199,False,465
Blu-Ray movies - Pick and choose for savings,350,New (Other),250,False,
The Laugh Out Loud 6-movie Collection DVD,0,Pre-Owned · DVD,568,True,
Smokey and the Bandit: The 7-Movie Outlaw Collection [New DVD] Boxed Set,0,Brand New · DVD,1038,True,
"BLU-RAY Lot Pick From 300 of Disney, Action, Comedy, Horror, Drama, Westerns",399,Pre-Owned,198,True,
Horror Classics (50 Movies) DVD,0,Pre-Owned · DVD · Horror Classics (50 Movies),738,True,
PREY – Blu-Ray 2022 Action/Adventure English Movie Free Shipping,0,New (Other) · Blu-ray,1599,False,93
"Prey (DVD, 2018) NEW SEALED Horror",0,Brand New · DVD,764,False,37
National Lampoon's Vacation 3-Movie Collection [New DVD],0,Brand New · DVD,891,True,
Window Wonderland DVD 2013 TV Movie NEW SEALED,499,Brand New · DVD,1499,False,39
🔥Drama Movies Pick Your DVD Bundle🔥$1 Each Buy More Save More,349,Pre-Owned,100,True,
Lifetime - 4 Film Christmas Collection [DVD],0,Brand New · DVD,2499,True,43
"Spice World (DVD) Victoria Beckham Emma Bunton Mel C B Geri,Brand  New,Region 1",0,Brand New · DVD,1999,False,
"Black Panther (DVD, 2018) Chadwick Boseman -  Michael B. Jordan , Lupita Nyong'o",0,Brand New · DVD · Black Panther,980,True,
EVERYTHING EVERYWHERE ALL AT ONCE ( DVD  ADVENTURE  - COMEDY NEW ,0,Brand New · DVD · Everything Everywhere All AT Once,999,False,9
"DVD Pick Choose Your Movies, Combined Ship Huge Used Lot, Comedy Action Thriller",300,Pre-Owned,179,False,
BLU RAY MOVIES Used Lot Bundle & Save Kids Family Universal FOX Disney - UPDATED,375,Pre-Owned,199,True,
"New ListingThe Crow (DVD, 2001, 2-Disc Set, Collectors Series)",349,Pre-Owned · DVD · Crow,199,False,
Futurama Complete Series DVD Volume 1-8 + 4 Full Length Movies New 27-DISC New,0,Brand New · DVD · Futurama,5737,False,21
New Black Hawk Down - (4K / Blu-ray + Digital),0,Brand New · Ultra HD · Black Hawk Down,1550,True,
"Mark of the Vampire (1935) Horror, Mystery Movie DVD",0,Brand New · DVD,879,False,
Jonah A VeggieTales Movie DVD Lisa Vischer NEW,0,Brand New · DVD,599,False,
"New ListingThor: Love and Thunder (Blu-Ray,Digital 2022) NEW SEALED! W/SLIPCASE ",0,Brand New · Blu-ray · Thor: Love and Thunder,1499,False,
God's Not Dead 4-movie Collection DVD Willie Robertson NEW,0,Brand New · DVD · God's Not Dead: 4-Movie Collection,1399,False,376
"Thirteen Lives, New, Sealed DVD, REGION FREE, PRESALE",349,Brand New · DVD,2199,True,
Spice World DVD 2007 Factory Sealed  Spice Girls Movie ,0,Brand New · DVD,1999,False,41
"Airplane! / Airplane II: The Sequel: 2-Movie Collection [New DVD] Gift Set, Su",0,Brand New · DVD,750,True,
NEW BULLET  TRAIN Blu-ray +DVD +Digital w/ Cover 2022.....FREE SHIPPING,0,Brand New · Blu-ray · Bullet Train,1425,False,
#33 Holiday Halloween Christmas DVD LOT PICK & CHOOSE $4 Flat Combined Shipping,400,Pre-Owned,200,False,
The LEGO Movie (DVD) - DVD - VERY GOOD,0,Pre-Owned · DVD · The Lego Movie,359,True,
DVD Sale Pick Choose Your Movies Fantasy Sci-Fi Horror Combined Ship Used Lot,349,Pre-Owned,179,False,
New Underworld Complete Film Collection 5 Pack (DVD),0,Brand New · DVD · Underworld: Ultimate Collection,1550,True,
VIDEO VIXENS (DVD) NEW,0,Brand New · DVD · Video Vixens,1199,False,
Mamma Mia! 2-movie Collection DVD Amanda Seyfried NEW,0,Brand New · DVD · MAMMA MIA! 2-Movie Collection,599,False,499
Aurora Teagarden: 6-Movie Collection [New DVD],0,Brand New · DVD · Aurora Teagarden: 6-Movie Collection,1679,True,
Blu Ray Movies - WHOLESALE lot - Collection - Discounted - Buy 3 get 1 Free,0,Pre-Owned,400,False,
New Escape Room  - (Blu-ray / DVD + Digital),0,Brand New · Blu-ray · Escape Room,1000,True,
New A Few Good Men (4K / Blu-ray / Digital),0,Brand New · Ultra HD · A Few Good Men,1550,True,
ALL 24 MARVEL CINEMATIC UNIVERSE MOVIE COLLECTION  DVD 13-Disc BRAND NEW,0,Brand New · DVD,2600,False,47
5 movies - American Ninja 1 - 5 DVD 1 2 3 4 5  Complete Collection Set,0,Brand New,2499,False,210
Illuminatiion Presents Despicable Me 3-Movie Collection DVD Steve Carell NEW,0,Brand New · DVD · Illumination Presents 3 Movie Collection,599,False,798
Constantine - DVD - VERY GOOD,0,Pre-Owned,359,True,
THE SHAWSHANK REDEMPTION (SINGLE-D MOVIE - DVD - VERY GOOD,0,Pre-Owned · DVD,407,True,
"New ListingThe Invitation (2022) Brand New, Sealed DVD, , No Inserts, Presale",0,Brand New · DVD,150,False,
SALE! NEW Top Gun Maverick 4K Ultra HD + Digital 2022 w/ Cover + Bonus Features,0,Brand New · Ultra HD · Top Gun: Maverick,2299,False,
Deadwood: The Movie [New DVD] Eco Amaray Case,0,Brand New · DVD · Deadwood: the Movie,998,True,
New Groundhog Day (4K / Blu-ray / Digital),0,Brand New · Ultra HD · Groundhog Day,1550,True,
You Pick / Choose HORROR Movies DVD Lot: Slasher Gore Halloween NEW Classics,350,Pre-Owned,316,False,
"4k, Blu-Ray, & DVD Movies Lot - Pick and Choose - All in Great Condition",349,New (Other),99,False,
12 Dates of Christmas DVD 2011 TV Movie NEW SEALED,499,Brand New · DVD,1499,False,15
Scary Movie 2 DVD,0,Pre-Owned · DVD · Scary Movie 2,490,True,
"Raya and the Last Dragon - Disney (DVD, 2021: 1-Disc) FREE Shipping New & Sealed",0,Brand New · DVD · Raya and the Last Dragon,738,False,
HUGE DVD MOVIE LOT 300+ Assorted DVDs Movies TV Shows Disc Only No Burned Discs,999,Pre-Owned · DVD,4999,False,
New The Final Girls (Blu-ray),0,Brand New · Blu-ray · The Final Girls,1000,True,
Vanishing Point DVD Barry Newman Dean Jagger 1971 Film Movie NEW & SEALED,0,Brand New · DVD · Vanishing Point,1999,False,103
SAILOR MOON COMPLETE COLLECTION - ANIME DVD BOX SET (1-239 EPISODES + 5 MOVIES),0,Brand New · DVD,6990,False,58
Bee Movie (Widescreen Edition) - DVD By Jerry Seinfeld - VERY GOOD,0,Pre-Owned · DVD · Bee Movie,357,True,
Shop on eBay,,Brand New,2000,False,
"Little Darlings, 1980, Original movie, DVD Video",0,Brand New · DVD,1239,False,
Comedy DVD Sale Lot Classic Funny Humor Movie Combined Shipping CHEAP ,395,Pre-Owned,100,True,
Blu-ray Sale Pick choose Movies Combined Ship Huge Used Lot A+ Movie Titles 2.99,349,Pre-Owned,200,False,
